Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
Falkland Islands (Malvinas),United Kingdom,2020-05-12 3:32,-51.7963,-59.5236,13,0,13,0
Tasmania,Australia,2020-05-12 3:32,-42.8821,147.3272,227,13,182,32
,New Zealand,2020-05-12 3:32,-40.9006,174.886,1497,21,1398,78
,Argentina,2020-05-12 3:32,-38.4161,-63.6167,6278,314,1837,4127
Victoria,Australia,2020-05-12 3:32,-37.8136,144.9631,1511,18,1360,133
,Chile,2020-05-12 3:32,-35.6751,-71.543,30063,323,13605,16135
Australian Capital Territory,Australia,2020-05-12 3:32,-35.4735,149.0124,107,3,104,0
South Australia,Australia,2020-05-12 3:32,-34.9285,138.6007,439,4,434,1
New South Wales,Australia,2020-05-12 3:32,-33.8688,151.2093,3053,44,2543,466
,Uruguay,2020-05-12 3:32,-32.5228,-55.7658,711,19,523,169
Western Australia,Australia,2020-05-12 3:32,-31.9505,115.8605,553,9,536,8
,South Africa,2020-05-12 3:32,-30.5595,22.9375,10652,206,4357,6089
Queensland,Australia,2020-05-12 3:32,-27.4698,153.0251,1051,6,1027,18
,Eswatini,2020-05-12 3:32,-26.5225,31.4659,175,2,28,145
,Paraguay,2020-05-12 3:32,-23.4425,-58.4438,724,10,170,544
,Namibia,2020-05-12 3:32,-22.9576,18.4904,16,0,11,5
,Botswana,2020-05-12 3:32,-22.3285,24.6849,24,1,12,11
Reunion,France,2020-05-12 3:32,-21.1151,55.5364,436,0,354,82
New Caledonia,France,2020-05-12 3:32,-20.904305,165.618042,18,0,18,0
,Mauritius,2020-05-12 3:32,-20.348404,57.552152,332,10,322,0
,Zimbabwe,2020-05-12 3:32,-19.015438,29.154857,36,4,9,23
,Madagascar,2020-05-12 3:32,-18.766947,46.869107,186,0,101,85
,Mozambique,2020-05-12 3:32,-18.665695,35.529562,103,0,34,69
,Fiji,2020-05-12 3:32,-17.7134,178.065,18,0,14,4
French Polynesia,France,2020-05-12 3:32,-17.6797,-149.4068,60,0,56,4
,Bolivia,2020-05-12 3:32,-16.2902,-63.5887,2831,122,299,2410
,Brazil,2020-05-12 3:32,-14.235,-51.9253,169594,11653,67384,90557
,Malawi,2020-05-12 3:32,-13.254308,34.301525,57,3,24,30
,Zambia,2020-05-12 3:32,-13.133897,27.849332,267,7,117,143
Mayotte,France,2020-05-12 3:32,-12.8275,45.166244,1023,11,492,520
Northern Territory,Australia,2020-05-12 3:32,-12.4634,130.8456,29,0,27,2
,Comoros,2020-05-12 3:32,-11.6455,43.3333,11,1,0,10
,Angola,2020-05-12 3:32,-11.2027,17.8739,45,2,13,30
,Peru,2020-05-12 3:32,-9.19,-75.0152,68822,1961,22406,44455
,Timor-Leste,2020-05-12 3:32,-8.874217,125.727539,24,0,21,3
,Tanzania,2020-05-12 3:32,-6.369028,34.888822,509,21,183,305
,Papua New Guinea,2020-05-12 3:32,-6.314993,143.95555,8,0,8,0
,Seychelles,2020-05-12 3:32,-4.6796,55.492,11,0,10,1
,Congo (Kinshasa),2020-05-12 3:32,-4.322447,15.307045,1024,41,141,842
,Congo (Brazzaville),2020-05-12 3:32,-4.2634,15.2832,333,11,53,269
,Burundi,2020-05-12 3:32,-3.3731,29.9189,15,1,7,7
,Rwanda,2020-05-12 3:32,-1.9403,29.8739,285,0,150,135
,Ecuador,2020-05-12 3:32,-1.8312,-78.1834,29509,2145,3433,23931
,Gabon,2020-05-12 3:32,-0.8037,11.6094,802,9,127,666
,Indonesia,2020-05-12 3:32,-0.7893,113.9213,14265,991,2881,10393
,Kenya,2020-05-12 3:32,-0.0236,37.9062,700,33,251,416
,Sao Tome and Principe,2020-05-12 3:32,0.18636,6.613081,208,5,4,199
,Singapore,2020-05-12 3:32,1.2833,103.8333,23822,21,3225,20576
,Uganda,2020-05-12 3:32,1.373333,32.290275,121,0,55,66
,Equatorial Guinea,2020-05-12 3:32,1.6508,10.2679,439,4,13,422
,Maldives,2020-05-12 3:32,3.2028,73.2207,897,3,29,865
,Cameroon,2020-05-12 3:32,3.848,11.5021,2689,125,1524,1040
,Suriname,2020-05-12 3:32,3.9193,-56.0278,10,1,9,0
French Guiana,France,2020-05-12 3:32,4,-53,144,1,122,21
,Malaysia,2020-05-12 3:32,4.210484,101.975766,6726,109,5113,1504
,Brunei,2020-05-12 3:32,4.5353,114.7277,141,1,134,6
,Colombia,2020-05-12 3:32,4.5709,-74.2973,11613,479,2825,8309
,Guyana,2020-05-12 3:32,4.860416,-58.93018,109,10,36,63
,Somalia,2020-05-12 3:32,5.152149,46.199616,1089,52,121,916
,Venezuela,2020-05-12 3:32,6.4238,-66.5897,422,10,205,207
,Liberia,2020-05-12 3:32,6.428055,-9.429499,211,20,85,106
,Central African Republic,2020-05-12 3:32,6.6111,20.9394,143,0,10,133
,South Sudan,2020-05-12 3:32,6.877,31.307,156,0,2,154
,Cote d'Ivoire,2020-05-12 3:32,7.54,-5.5471,1730,21,818,891
,Sri Lanka,2020-05-12 3:32,7.873054,80.771797,869,9,343,517
,Ghana,2020-05-12 3:32,7.9465,-1.0232,4700,22,494,4184
,Sierra Leone,2020-05-12 3:32,8.460555,-11.779889,338,19,72,247
,Panama,2020-05-12 3:32,8.538,-80.7821,8616,249,4687,3680
,Togo,2020-05-12 3:32,8.6195,0.8248,181,11,89,81
